ZIP,YEAR,SEX,Group - 10 Year,POPULATION
92075,2015,Female,10 to 19,596
92086,2015,Female,10 to 19,39
92056,2015,Female,10 to 19,2921
92114,2015,Female,10 to 19,4351
92019,2015,Female,10 to 19,2698
92107,2015,Female,10 to 19,946
92155,2015,Female,10 to 19,2
92020,2015,Female,10 to 19,3501
92536,2015,Female,10 to 19,11
92057,2015,Female,10 to 19,3657
92109,2015,Female,10 to 19,1393
92009,2015,Female,10 to 19,3063
91914,2015,Female,10 to 19,1492
91917,2015,Female,10 to 19,56
92128,2015,Female,10 to 19,2616
92036,2015,Female,10 to 19,210
91962,2015,Female,10 to 19,66
92120,2015,Female,10 to 19,1190
92084,2015,Female,10 to 19,3462
91915,2015,Female,10 to 19,2509
91977,2015,Female,10 to 19,4156
92010,2015,Female,10 to 19,917
92029,2015,Female,10 to 19,1097
92103,2015,Female,10 to 19,830
92101,2015,Female,10 to 19,899
92117,2015,Female,10 to 19,2278
92126,2015,Female,10 to 19,3982
92078,2015,Female,10 to 19,2884
92021,2015,Female,10 to 19,3936
92134,2015,Female,10 to 19,6
92040,2015,Female,10 to 19,2495
92028,2015,Female,10 to 19,2787
92118,2015,Female,10 to 19,939
92071,2015,Female,10 to 19,3099
92135,2015,Female,10 to 19,108
92007,2015,Female,10 to 19,466
91942,2015,Female,10 to 19,1639
92008,2015,Female,10 to 19,1349
92064,2015,Female,10 to 19,3033
92123,2015,Female,10 to 19,1544
91963,2015,Female,10 to 19,57
91906,2015,Female,10 to 19,216
92136,2015,Female,10 to 19,206
91934,2015,Female,10 to 19,68
92025,2015,Female,10 to 19,3730
92059,2015,Female,10 to 19,93
92154,2015,Female,10 to 19,5702
92108,2015,Female,10 to 19,587
92129,2015,Female,10 to 19,3406
92065,2015,Female,10 to 19,2380
92037,2015,Female,10 to 19,1886
92113,2015,Female,10 to 19,4164
92054,2015,Female,10 to 19,2161
92121,2015,Female,10 to 19,181
92061,2015,Female,10 to 19,152
92104,2015,Female,10 to 19,2050
91913,2015,Female,10 to 19,3686
92082,2015,Female,10 to 19,1013
92003,2015,Female,10 to 19,188
91980,2015,Female,10 to 19,14
91950,2015,Female,10 to 19,4136
92106,2015,Female,10 to 19,1484
92173,2015,Female,10 to 19,2426
92027,2015,Female,10 to 19,3983
92014,2015,Female,10 to 19,604
91911,2015,Female,10 to 19,6217
92024,2015,Female,10 to 19,2805
92140,2015,Female,10 to 19,15
92105,2015,Female,10 to 19,5012
91902,2015,Female,10 to 19,986
92115,2015,Female,10 to 19,3469
91978,2015,Female,10 to 19,444
92259,2015,Female,10 to 19,0
92182,2015,Female,10 to 19,1108
92672,2015,Female,10 to 19,298
91905,2015,Female,10 to 19,115
91945,2015,Female,10 to 19,1671
92111,2015,Female,10 to 19,2543
92091,2015,Female,10 to 19,115
92145,2015,Female,10 to 19,12
92070,2015,Female,10 to 19,26
92055,2015,Female,10 to 19,1515
92011,2015,Female,10 to 19,1401
91948,2015,Female,10 to 19,27
92060,2015,Female,10 to 19,36
91931,2015,Female,10 to 19,17
92119,2015,Female,10 to 19,1166
92102,2015,Female,10 to 19,2976
92096,2015,Female,10 to 19,722
91935,2015,Female,10 to 19,513
92116,2015,Female,10 to 19,1267
92083,2015,Female,10 to 19,2711
92067,2015,Female,10 to 19,608
92130,2015,Female,10 to 19,4220
