ZIP,YEAR,SEX,Group - 10 Year,POPULATION
92065,2014,Female,10 to 19,2453
92134,2014,Female,10 to 19,6
92128,2014,Female,10 to 19,2601
91950,2014,Female,10 to 19,4216
92173,2014,Female,10 to 19,2499
91941,2014,Female,10 to 19,1618
92025,2014,Female,10 to 19,3829
92109,2014,Female,10 to 19,1318
92102,2014,Female,10 to 19,3084
92028,2014,Female,10 to 19,2936
91934,2014,Female,10 to 19,67
92093,2014,Female,10 to 19,3144
91977,2014,Female,10 to 19,4219
92161,2014,Female,10 to 19,0
92116,2014,Female,10 to 19,1227
92123,2014,Female,10 to 19,1344
91963,2014,Female,10 to 19,59
91902,2014,Female,10 to 19,1005
92086,2014,Female,10 to 19,46
92119,2014,Female,10 to 19,1212
91962,2014,Female,10 to 19,68
92536,2014,Female,10 to 19,10
92027,2014,Female,10 to 19,4021
91911,2014,Female,10 to 19,6305
91932,2014,Female,10 to 19,1753
92105,2014,Female,10 to 19,5233
92117,2014,Female,10 to 19,2315
92003,2014,Female,10 to 19,198
92096,2014,Female,10 to 19,601
92029,2014,Female,10 to 19,1064
92011,2014,Female,10 to 19,1455
92107,2014,Female,10 to 19,908
92130,2014,Female,10 to 19,4236
92155,2014,Female,10 to 19,2
92036,2014,Female,10 to 19,198
92075,2014,Female,10 to 19,598
92009,2014,Female,10 to 19,3112
92019,2014,Female,10 to 19,2789
92055,2014,Female,10 to 19,1407
92091,2014,Female,10 to 19,111
92020,2014,Female,10 to 19,3544
92057,2014,Female,10 to 19,3687
92021,2014,Female,10 to 19,4055
91948,2014,Female,10 to 19,29
91942,2014,Female,10 to 19,1657
92069,2014,Female,10 to 19,3391
92078,2014,Female,10 to 19,2765
92071,2014,Female,10 to 19,3178
91913,2014,Female,10 to 19,3708
92135,2014,Female,10 to 19,106
92014,2014,Female,10 to 19,615
92056,2014,Female,10 to 19,2964
92122,2014,Female,10 to 19,1431
91945,2014,Female,10 to 19,1689
92110,2014,Female,10 to 19,1830
92140,2014,Female,10 to 19,14
92059,2014,Female,10 to 19,88
92106,2014,Female,10 to 19,1497
91980,2014,Female,10 to 19,13
91935,2014,Female,10 to 19,557
92064,2014,Female,10 to 19,3200
92108,2014,Female,10 to 19,519
92129,2014,Female,10 to 19,3581
92127,2014,Female,10 to 19,3230
91905,2014,Female,10 to 19,116
92026,2014,Female,10 to 19,3367
92118,2014,Female,10 to 19,1008
92010,2014,Female,10 to 19,917
92182,2014,Female,10 to 19,1106
92145,2014,Female,10 to 19,12
92070,2014,Female,10 to 19,27
92084,2014,Female,10 to 19,3465
92101,2014,Female,10 to 19,783
92004,2014,Female,10 to 19,254
92139,2014,Female,10 to 19,2444
92113,2014,Female,10 to 19,4317
92136,2014,Female,10 to 19,206
92131,2014,Female,10 to 19,2568
91978,2014,Female,10 to 19,467
92058,2014,Female,10 to 19,1381
92083,2014,Female,10 to 19,2637
92154,2014,Female,10 to 19,5706
92054,2014,Female,10 to 19,2189
92126,2014,Female,10 to 19,3884
92024,2014,Female,10 to 19,2851
92060,2014,Female,10 to 19,35
92082,2014,Female,10 to 19,1046
92066,2014,Female,10 to 19,16
92103,2014,Female,10 to 19,769
91901,2014,Female,10 to 19,1068
91914,2014,Female,10 to 19,1513
91915,2014,Female,10 to 19,2485
91917,2014,Female,10 to 19,56
92115,2014,Female,10 to 19,3477
92104,2014,Female,10 to 19,2067
92124,2014,Female,10 to 19,2068
92008,2014,Female,10 to 19,1333
92040,2014,Female,10 to 19,2543
92007,2014,Female,10 to 19,466
92067,2014,Female,10 to 19,645
92114,2014,Female,10 to 19,4484
91916,2014,Female,10 to 19,113
92111,2014,Female,10 to 19,2579
92037,2014,Female,10 to 19,1875
92259,2014,Female,10 to 19,0
92672,2014,Female,10 to 19,274
91906,2014,Female,10 to 19,216
91910,2014,Female,10 to 19,5391
91931,2014,Female,10 to 19,18
92081,2014,Female,10 to 19,1643
92121,2014,Female,10 to 19,164
92061,2014,Female,10 to 19,182
92120,2014,Female,10 to 19,1191
92131,2014,Female,20 to 29,1855
92014,2014,Female,20 to 29,657
92135,2014,Female,20 to 29,659
92120,2014,Female,20 to 29,1853
91931,2014,Female,20 to 29,26
91902,2014,Female,20 to 29,1197
92109,2014,Female,20 to 29,6056
92139,2014,Female,20 to 29,2712
92081,2014,Female,20 to 29,2387
91917,2014,Female,20 to 29,54
91934,2014,Female,20 to 29,78
92122,2014,Female,20 to 29,6310
92084,2014,Female,20 to 29,3636
91980,2014,Female,20 to 29,9
92124,2014,Female,20 to 29,2380
92127,2014,Female,20 to 29,2649
92003,2014,Female,20 to 29,284
92182,2014,Female,20 to 29,185
92136,2014,Female,20 to 29,1336
92056,2014,Female,20 to 29,4257
92117,2014,Female,20 to 29,3856
91916,2014,Female,20 to 29,125
92020,2014,Female,20 to 29,4586
92066,2014,Female,20 to 29,15
92129,2014,Female,20 to 29,3476
92055,2014,Female,20 to 29,3163
91978,2014,Female,20 to 29,621
91945,2014,Female,20 to 29,1894
92037,2014,Female,20 to 29,3316
92061,2014,Female,20 to 29,199
92115,2014,Female,20 to 29,7291
92103,2014,Female,20 to 29,2546
91948,2014,Female,20 to 29,22
92134,2014,Female,20 to 29,26
91963,2014,Female,20 to 29,77
92054,2014,Female,20 to 29,3299
92096,2014,Female,20 to 29,74
92101,2014,Female,20 to 29,3990
91915,2014,Female,20 to 29,2041
92116,2014,Female,20 to 29,2555
