ZIP,YEAR,SEX,Group - 10 Year,POPULATION
92134,2012,Female,10 to 19,6
92110,2012,Female,10 to 19,1629
92066,2012,Female,10 to 19,20
91941,2012,Female,10 to 19,1708
91978,2012,Female,10 to 19,498
92060,2012,Female,10 to 19,34
92067,2012,Female,10 to 19,680
92004,2012,Female,10 to 19,252
92131,2012,Female,10 to 19,2563
92126,2012,Female,10 to 19,3756
91935,2012,Female,10 to 19,611
91910,2012,Female,10 to 19,5613
92109,2012,Female,10 to 19,1186
91915,2012,Female,10 to 19,2258
92083,2012,Female,10 to 19,2615
92103,2012,Female,10 to 19,708
92106,2012,Female,10 to 19,1432
92128,2012,Female,10 to 19,2511
92093,2012,Female,10 to 19,2974
92086,2012,Female,10 to 19,54
92027,2012,Female,10 to 19,4195
91942,2012,Female,10 to 19,1670
92026,2012,Female,10 to 19,3424
92057,2012,Female,10 to 19,3773
92059,2012,Female,10 to 19,84
92069,2012,Female,10 to 19,3482
92155,2012,Female,10 to 19,2
92019,2012,Female,10 to 19,2996
92107,2012,Female,10 to 19,879
92029,2012,Female,10 to 19,1024
91980,2012,Female,10 to 19,13
92672,2012,Female,10 to 19,217
92104,2012,Female,10 to 19,2040
92070,2012,Female,10 to 19,24
92123,2012,Female,10 to 19,1263
92081,2012,Female,10 to 19,1546
91950,2012,Female,10 to 19,4254
91905,2012,Female,10 to 19,126
91913,2012,Female,10 to 19,3460
92145,2012,Female,10 to 19,12
92084,2012,Female,10 to 19,3549
92105,2012,Female,10 to 19,5495
92036,2012,Female,10 to 19,191
92065,2012,Female,10 to 19,2564
92064,2012,Female,10 to 19,3548
92140,2012,Female,10 to 19,12
91962,2012,Female,10 to 19,79
92056,2012,Female,10 to 19,3040
92121,2012,Female,10 to 19,152
92037,2012,Female,10 to 19,1916
91911,2012,Female,10 to 19,6602
92118,2012,Female,10 to 19,1082
92135,2012,Female,10 to 19,106
91932,2012,Female,10 to 19,1782
92173,2012,Female,10 to 19,2673
92102,2012,Female,10 to 19,3177
92108,2012,Female,10 to 19,386
91931,2012,Female,10 to 19,18
92014,2012,Female,10 to 19,672
92007,2012,Female,10 to 19,453
92009,2012,Female,10 to 19,3041
92114,2012,Female,10 to 19,4912
92154,2012,Female,10 to 19,5960
92008,2012,Female,10 to 19,1390
92120,2012,Female,10 to 19,1226
92024,2012,Female,10 to 19,2929
92536,2012,Female,10 to 19,14
92025,2012,Female,10 to 19,3778
92058,2012,Female,10 to 19,1431
91945,2012,Female,10 to 19,1767
92113,2012,Female,10 to 19,4620
92161,2012,Female,10 to 19,0
92061,2012,Female,10 to 19,202
92139,2012,Female,10 to 19,2451
92075,2012,Female,10 to 19,608
92117,2012,Female,10 to 19,2351
92091,2012,Female,10 to 19,104
91906,2012,Female,10 to 19,230
92124,2012,Female,10 to 19,2033
92119,2012,Female,10 to 19,1253
92078,2012,Female,10 to 19,2507
92071,2012,Female,10 to 19,3354
92111,2012,Female,10 to 19,2657
91916,2012,Female,10 to 19,132
92136,2012,Female,10 to 19,201
92040,2012,Female,10 to 19,2675
91948,2012,Female,10 to 19,27
92003,2012,Female,10 to 19,232
92259,2012,Female,10 to 19,0
91934,2012,Female,10 to 19,66
92101,2012,Female,10 to 19,708
92115,2012,Female,10 to 19,3399
92028,2012,Female,10 to 19,3074
92021,2012,Female,10 to 19,4303
92129,2012,Female,10 to 19,3861
92082,2012,Female,10 to 19,1175
92182,2012,Female,10 to 19,1057
92054,2012,Female,10 to 19,2213
92127,2012,Female,10 to 19,3046
92122,2012,Female,10 to 19,1352
92055,2012,Female,10 to 19,1133
91977,2012,Female,10 to 19,4367
92020,2012,Female,10 to 19,3621
92130,2012,Female,10 to 19,4241
91901,2012,Female,10 to 19,1154
92010,2012,Female,10 to 19,953
91914,2012,Female,10 to 19,1495
91917,2012,Female,10 to 19,55
92096,2012,Female,10 to 19,348
92011,2012,Female,10 to 19,1461
91963,2012,Female,10 to 19,62
92116,2012,Female,10 to 19,1182
91902,2012,Female,10 to 19,1072
92121,2012,Female,20 to 29,584
92104,2012,Female,20 to 29,4226
92061,2012,Female,20 to 29,169
92140,2012,Female,20 to 29,41
92120,2012,Female,20 to 29,1766
91977,2012,Female,20 to 29,4507
92108,2012,Female,20 to 29,2897
92025,2012,Female,20 to 29,3617
92161,2012,Female,20 to 29,0
