ZIP,YEAR,SEX,Group - 10 Year,POPULATION
92081,2016,Female,10 to 19,1666
92003,2016,Female,10 to 19,195
92093,2016,Female,10 to 19,3145
92020,2016,Female,10 to 19,3455
92025,2016,Female,10 to 19,3737
92108,2016,Female,10 to 19,697
92069,2016,Female,10 to 19,3400
92024,2016,Female,10 to 19,2777
91916,2016,Female,10 to 19,94
91980,2016,Female,10 to 19,11
92131,2016,Female,10 to 19,2416
91906,2016,Female,10 to 19,201
92129,2016,Female,10 to 19,3339
92036,2016,Female,10 to 19,199
92127,2016,Female,10 to 19,3472
92070,2016,Female,10 to 19,27
92121,2016,Female,10 to 19,194
91962,2016,Female,10 to 19,56
92083,2016,Female,10 to 19,2702
91935,2016,Female,10 to 19,523
92123,2016,Female,10 to 19,1585
91913,2016,Female,10 to 19,3754
92009,2016,Female,10 to 19,3054
92122,2016,Female,10 to 19,1589
92101,2016,Female,10 to 19,1131
92173,2016,Female,10 to 19,2395
92103,2016,Female,10 to 19,870
92117,2016,Female,10 to 19,2268
92029,2016,Female,10 to 19,1065
92086,2016,Female,10 to 19,45
92109,2016,Female,10 to 19,1495
92104,2016,Female,10 to 19,2037
92019,2016,Female,10 to 19,2581
91948,2016,Female,10 to 19,28
92111,2016,Female,10 to 19,2443
92057,2016,Female,10 to 19,3585
92128,2016,Female,10 to 19,2577
92071,2016,Female,10 to 19,2986
92091,2016,Female,10 to 19,117
92040,2016,Female,10 to 19,2435
92134,2016,Female,10 to 19,6
92115,2016,Female,10 to 19,3469
92065,2016,Female,10 to 19,2299
92056,2016,Female,10 to 19,2917
92075,2016,Female,10 to 19,589
91941,2016,Female,10 to 19,1601
92028,2016,Female,10 to 19,2608
92026,2016,Female,10 to 19,3376
91934,2016,Female,10 to 19,67
92140,2016,Female,10 to 19,15
92118,2016,Female,10 to 19,846
92084,2016,Female,10 to 19,3512
92064,2016,Female,10 to 19,2992
92672,2016,Female,10 to 19,314
92105,2016,Female,10 to 19,4912
92058,2016,Female,10 to 19,1372
92107,2016,Female,10 to 19,966
92114,2016,Female,10 to 19,4144
92259,2016,Female,10 to 19,0
92113,2016,Female,10 to 19,4046
91910,2016,Female,10 to 19,5184
92096,2016,Female,10 to 19,692
91978,2016,Female,10 to 19,427
91977,2016,Female,10 to 19,4012
92067,2016,Female,10 to 19,593
92059,2016,Female,10 to 19,85
92182,2016,Female,10 to 19,1100
92061,2016,Female,10 to 19,134
92055,2016,Female,10 to 19,1668
91932,2016,Female,10 to 19,1794
92011,2016,Female,10 to 19,1388
91950,2016,Female,10 to 19,4168
92120,2016,Female,10 to 19,1247
91914,2016,Female,10 to 19,1480
92136,2016,Female,10 to 19,206
92116,2016,Female,10 to 19,1282
92135,2016,Female,10 to 19,128
91901,2016,Female,10 to 19,962
92106,2016,Female,10 to 19,1499
92154,2016,Female,10 to 19,5700
92155,2016,Female,10 to 19,3
92007,2016,Female,10 to 19,467
92066,2016,Female,10 to 19,18
92161,2016,Female,10 to 19,0
92010,2016,Female,10 to 19,860
92014,2016,Female,10 to 19,570
91931,2016,Female,10 to 19,17
92054,2016,Female,10 to 19,2175
92139,2016,Female,10 to 19,2318
92004,2016,Female,10 to 19,258
92130,2016,Female,10 to 19,4153
92008,2016,Female,10 to 19,1323
92078,2016,Female,10 to 19,2966
92060,2016,Female,10 to 19,34
92124,2016,Female,10 to 19,2068
92110,2016,Female,10 to 19,1912
92126,2016,Female,10 to 19,3940
92119,2016,Female,10 to 19,1104
92082,2016,Female,10 to 19,944
91917,2016,Female,10 to 19,52
92102,2016,Female,10 to 19,2826
91942,2016,Female,10 to 19,1669
91902,2016,Female,10 to 19,966
92021,2016,Female,10 to 19,3827
91945,2016,Female,10 to 19,1656
92037,2016,Female,10 to 19,1930
91911,2016,Female,10 to 19,6189
91963,2016,Female,10 to 19,52
91905,2016,Female,10 to 19,117
92145,2016,Female,10 to 19,11
92536,2016,Female,10 to 19,11
91915,2016,Female,10 to 19,2460
92027,2016,Female,10 to 19,3888
92020,2016,Female,20 to 29,4476
92069,2016,Female,20 to 29,4025
92109,2016,Female,20 to 29,4973
92024,2016,Female,20 to 29,3508
92009,2016,Female,20 to 29,2565
92021,2016,Female,20 to 29,5115
92105,2016,Female,20 to 29,5726
92107,2016,Female,20 to 29,2054
91962,2016,Female,20 to 29,94
92036,2016,Female,20 to 29,262
92066,2016,Female,20 to 29,23
92061,2016,Female,20 to 29,195
91932,2016,Female,20 to 29,2280
92155,2016,Female,20 to 29,27
92173,2016,Female,20 to 29,2469
92101,2016,Female,20 to 29,4196
92075,2016,Female,20 to 29,749
92120,2016,Female,20 to 29,2054
92126,2016,Female,20 to 29,5417
92131,2016,Female,20 to 29,2102
91935,2016,Female,20 to 29,583
92070,2016,Female,20 to 29,54
91914,2016,Female,20 to 29,1244
91945,2016,Female,20 to 29,1864
92128,2016,Female,20 to 29,3316
91948,2016,Female,20 to 29,21
91978,2016,Female,20 to 29,588
92118,2016,Female,20 to 29,1375
91950,2016,Female,20 to 29,4451
91913,2016,Female,20 to 29,4108
91963,2016,Female,20 to 29,81
92122,2016,Female,20 to 29,5653
92058,2016,Female,20 to 29,1972
92055,2016,Female,20 to 29,2955
92116,2016,Female,20 to 29,2336
91931,2016,Female,20 to 29,27
91906,2016,Female,20 to 29,276
91942,2016,Female,20 to 29,3542
92082,2016,Female,20 to 29,1274
92065,2016,Female,20 to 29,2740
92027,2016,Female,20 to 29,4064
92123,2016,Female,20 to 29,2789
92056,2016,Female,20 to 29,4266
92067,2016,Female,20 to 29,610
92536,2016,Female,20 to 29,32
92086,2016,Female,20 to 29,107
92060,2016,Female,20 to 29,77
92154,2016,Female,20 to 29,6087
91980,2016,Female,20 to 29,11
91901,2016,Female,20 to 29,1201
92672,2016,Female,20 to 29,470
92114,2016,Female,20 to 29,4733
91911,2016,Female,20 to 29,6563
92106,2016,Female,20 to 29,2160
92117,2016,Female,20 to 29,3776
92102,2016,Female,20 to 29,3525
92091,2016,Female,20 to 29,78
92093,2016,Female,20 to 29,1618
92113,2016,Female,20 to 29,4085
92135,2016,Female,20 to 29,787
92129,2016,Female,20 to 29,3628
92019,2016,Female,20 to 29,3222
92008,2016,Female,20 to 29,2152
92182,2016,Female,20 to 29,183
92108,2016,Female,20 to 29,2602
91910,2016,Female,20 to 29,6041
92104,2016,Female,20 to 29,3628
92081,2016,Female,20 to 29,2374
92010,2016,Female,20 to 29,1109
92003,2016,Female,20 to 29,302
92103,2016,Female,20 to 29,2226
92083,2016,Female,20 to 29,2841
92071,2016,Female,20 to 29,4223
92119,2016,Female,20 to 29,1692
92064,2016,Female,20 to 29,3239
92134,2016,Female,20 to 29,26
92139,2016,Female,20 to 29,2636
92057,2016,Female,20 to 29,4507
92029,2016,Female,20 to 29,1306
92121,2016,Female,20 to 29,510
92028,2016,Female,20 to 29,3881
91915,2016,Female,20 to 29,2181
91902,2016,Female,20 to 29,1167
92059,2016,Female,20 to 29,105
92026,2016,Female,20 to 29,3959
92161,2016,Female,20 to 29,0
92014,2016,Female,20 to 29,771
91941,2016,Female,20 to 29,2537
92011,2016,Female,20 to 29,1533
92007,2016,Female,20 to 29,612
92040,2016,Female,20 to 29,3285
92037,2016,Female,20 to 29,3339
91934,2016,Female,20 to 29,82
92078,2016,Female,20 to 29,3516
92111,2016,Female,20 to 29,3621
92259,2016,Female,20 to 29,0
91977,2016,Female,20 to 29,4504
92130,2016,Female,20 to 29,3220
92115,2016,Female,20 to 29,6768
91916,2016,Female,20 to 29,148
91905,2016,Female,20 to 29,131
92084,2016,Female,20 to 29,3613
92004,2016,Female,20 to 29,480
92096,2016,Female,20 to 29,89
91917,2016,Female,20 to 29,58
92110,2016,Female,20 to 29,2609
92136,2016,Female,20 to 29,1327
92145,2016,Female,20 to 29,32
92054,2016,Female,20 to 29,3206
92025,2016,Female,20 to 29,3797
92140,2016,Female,20 to 29,52
92124,2016,Female,20 to 29,2290
92127,2016,Female,20 to 29,3334
92116,2016,Female,30 to 39,3834
92122,2016,Female,30 to 39,4349
92118,2016,Female,30 to 39,1103
92084,2016,Female,30 to 39,3111
91948,2016,Female,30 to 39,28
92109,2016,Female,30 to 39,6388
92064,2016,Female,30 to 39,2553
92123,2016,Female,30 to 39,2945
92021,2016,Female,30 to 39,4368
92101,2016,Female,30 to 39,5050
91941,2016,Female,30 to 39,2337
92117,2016,Female,30 to 39,3993
91963,2016,Female,30 to 39,63
91935,2016,Female,30 to 39,427
92154,2016,Female,30 to 39,4992
92120,2016,Female,30 to 39,1893
92003,2016,Female,30 to 39,262
92155,2016,Female,30 to 39,7
92107,2016,Female,30 to 39,3266
92069,2016,Female,30 to 39,3139
92126,2016,Female,30 to 39,5739
92140,2016,Female,30 to 39,5
92081,2016,Female,30 to 39,2118
92071,2016,Female,30 to 39,3810
92086,2016,Female,30 to 39,95
91906,2016,Female,30 to 39,189
92139,2016,Female,30 to 39,2420
91910,2016,Female,30 to 39,5430
92011,2016,Female,30 to 39,1288
92093,2016,Female,30 to 39,47
92029,2016,Female,30 to 39,1160
92061,2016,Female,30 to 39,130
92096,2016,Female,30 to 39,0
92026,2016,Female,30 to 39,3530
92010,2016,Female,30 to 39,1006
92105,2016,Female,30 to 39,5145
92119,2016,Female,30 to 39,1437
