ZIP,YEAR,SEX,Group - 10 Year,POPULATION
92014,2010,Female,20 to 29,517
92057,2010,Female,20 to 29,3942
91941,2010,Female,20 to 29,2329
92086,2010,Female,20 to 29,88
92102,2010,Female,20 to 29,4126
92069,2010,Female,20 to 29,3297
92056,2010,Female,20 to 29,3616
92123,2010,Female,20 to 29,2957
91911,2010,Female,20 to 29,5997
92026,2010,Female,20 to 29,3833
92011,2010,Female,20 to 29,888
92117,2010,Female,20 to 29,4103
92111,2010,Female,20 to 29,4176
92139,2010,Female,20 to 29,2928
92078,2010,Female,20 to 29,2733
92154,2010,Female,20 to 29,5551
92061,2010,Female,20 to 29,134
92036,2010,Female,20 to 29,126
92010,2010,Female,20 to 29,794
91915,2010,Female,20 to 29,1495
91942,2010,Female,20 to 29,3411
92096,2010,Female,20 to 29,79
92071,2010,Female,20 to 29,3569
92003,2010,Female,20 to 29,204
92104,2010,Female,20 to 29,4783
92124,2010,Female,20 to 29,2666
92103,2010,Female,20 to 29,3196
92055,2010,Female,20 to 29,3952
92108,2010,Female,20 to 29,3235
92116,2010,Female,20 to 29,3355
92009,2010,Female,20 to 29,1502
91950,2010,Female,20 to 29,4176
92093,2010,Female,20 to 29,1570
92131,2010,Female,20 to 29,1488
92136,2010,Female,20 to 29,1186
91932,2010,Female,20 to 29,2359
92113,2010,Female,20 to 29,4262
92161,2010,Female,20 to 29,0
91945,2010,Female,20 to 29,1823
92182,2010,Female,20 to 29,373
92027,2010,Female,20 to 29,3943
92126,2010,Female,20 to 29,5967
91901,2010,Female,20 to 29,865
92082,2010,Female,20 to 29,905
92060,2010,Female,20 to 29,27
92008,2010,Female,20 to 29,2076
92134,2010,Female,20 to 29,18
92054,2010,Female,20 to 29,3275
92007,2010,Female,20 to 29,712
92029,2010,Female,20 to 29,1173
92025,2010,Female,20 to 29,3513
92127,2010,Female,20 to 29,1909
92129,2010,Female,20 to 29,2758
92105,2010,Female,20 to 29,5955
92672,2010,Female,20 to 29,456
91916,2010,Female,20 to 29,86
91948,2010,Female,20 to 29,20
92091,2010,Female,20 to 29,51
91905,2010,Female,20 to 29,126
91913,2010,Female,20 to 29,2446
92004,2010,Female,20 to 29,133
92118,2010,Female,20 to 29,822
92040,2010,Female,20 to 29,2810
91963,2010,Female,20 to 29,78
92128,2010,Female,20 to 29,2579
91906,2010,Female,20 to 29,280
92135,2010,Female,20 to 29,847
92114,2010,Female,20 to 29,4800
92101,2010,Female,20 to 29,4078
92128,2010,Female,30 to 39,3353
91950,2010,Female,30 to 39,3675
91980,2010,Female,30 to 39,16
92129,2010,Female,30 to 39,3610
91978,2010,Female,30 to 39,499
92134,2010,Female,30 to 39,4
91962,2010,Female,30 to 39,109
92103,2010,Female,30 to 39,3101
92130,2010,Female,30 to 39,3806
91977,2010,Female,30 to 39,3934
91902,2010,Female,30 to 39,1026
91963,2010,Female,30 to 39,79
92070,2010,Female,30 to 39,31
92131,2010,Female,30 to 39,2528
92084,2010,Female,30 to 39,2993
92069,2010,Female,30 to 39,3352
92104,2010,Female,30 to 39,4627
91906,2010,Female,30 to 39,349
92091,2010,Female,30 to 39,88
92067,2010,Female,30 to 39,371
92086,2010,Female,30 to 39,50
92082,2010,Female,30 to 39,849
92105,2010,Female,30 to 39,5461
92066,2010,Female,30 to 39,14
92259,2010,Female,30 to 39,0
91910,2010,Female,30 to 39,5015
92065,2010,Female,30 to 39,1914
92106,2010,Female,30 to 39,1336
92064,2010,Female,30 to 39,2493
92107,2010,Female,30 to 39,2360
91911,2010,Female,30 to 39,5458
92061,2010,Female,30 to 39,181
92060,2010,Female,30 to 39,39
92182,2010,Female,30 to 39,53
92108,2010,Female,30 to 39,1645
91913,2010,Female,30 to 39,3145
92059,2010,Female,30 to 39,88
92109,2010,Female,30 to 39,3618
92058,2010,Female,30 to 39,1625
92101,2010,Female,30 to 39,3015
92173,2010,Female,30 to 39,1940
91914,2010,Female,30 to 39,1258
92078,2010,Female,30 to 39,2933
92536,2010,Female,30 to 39,22
92110,2010,Female,30 to 39,1758
92057,2010,Female,30 to 39,3513
92056,2010,Female,30 to 39,3058
92111,2010,Female,30 to 39,3510
91915,2010,Female,30 to 39,2435
91901,2010,Female,30 to 39,887
92055,2010,Female,30 to 39,1380
92161,2010,Female,30 to 39,0
92113,2010,Female,30 to 39,3684
92054,2010,Female,30 to 39,2670
91916,2010,Female,30 to 39,109
92075,2010,Female,30 to 39,871
92040,2010,Female,30 to 39,2345
92114,2010,Female,30 to 39,3940
92037,2010,Female,30 to 39,2259
92155,2010,Female,30 to 39,69
91917,2010,Female,30 to 39,70
92115,2010,Female,30 to 39,3736
92036,2010,Female,30 to 39,151
92029,2010,Female,30 to 39,1135
92116,2010,Female,30 to 39,3222
92154,2010,Female,30 to 39,4899
92028,2010,Female,30 to 39,2589
91931,2010,Female,30 to 39,22
92093,2010,Female,30 to 39,196
92117,2010,Female,30 to 39,3479
92027,2010,Female,30 to 39,3505
91905,2010,Female,30 to 39,118
92118,2010,Female,30 to 39,908
91932,2010,Female,30 to 39,1667
92026,2010,Female,30 to 39,3395
92025,2010,Female,30 to 39,3477
92145,2010,Female,30 to 39,1
