ZIP,YEAR,SEX,Group - 10 Year,POPULATION
92014,2011,Female,10 to 19,710
92120,2011,Female,10 to 19,1289
92082,2011,Female,10 to 19,1261
92114,2011,Female,10 to 19,5188
92027,2011,Female,10 to 19,4265
91962,2011,Female,10 to 19,85
92108,2011,Female,10 to 19,414
92130,2011,Female,10 to 19,4229
91977,2011,Female,10 to 19,4569
92086,2011,Female,10 to 19,59
92145,2011,Female,10 to 19,11
92105,2011,Female,10 to 19,5665
92024,2011,Female,10 to 19,2934
92672,2011,Female,10 to 19,210
92028,2011,Female,10 to 19,3211
92004,2011,Female,10 to 19,248
91931,2011,Female,10 to 19,17
92111,2011,Female,10 to 19,2681
92081,2011,Female,10 to 19,1562
92008,2011,Female,10 to 19,1421
92091,2011,Female,10 to 19,110
92121,2011,Female,10 to 19,154
92259,2011,Female,10 to 19,0
92010,2011,Female,10 to 19,992
91901,2011,Female,10 to 19,1178
92124,2011,Female,10 to 19,1993
92126,2011,Female,10 to 19,3844
92064,2011,Female,10 to 19,3770
92103,2011,Female,10 to 19,672
91914,2011,Female,10 to 19,1444
92029,2011,Female,10 to 19,1034
92036,2011,Female,10 to 19,201
92011,2011,Female,10 to 19,1461
92075,2011,Female,10 to 19,603
92060,2011,Female,10 to 19,33
91916,2011,Female,10 to 19,142
92119,2011,Female,10 to 19,1304
92078,2011,Female,10 to 19,2533
92059,2011,Female,10 to 19,82
92071,2011,Female,10 to 19,3579
91911,2011,Female,10 to 19,6701
92057,2011,Female,10 to 19,3890
92055,2011,Female,10 to 19,1104
91948,2011,Female,10 to 19,24
92129,2011,Female,10 to 19,3883
92093,2011,Female,10 to 19,2867
92069,2011,Female,10 to 19,3620
92154,2011,Female,10 to 19,6097
92056,2011,Female,10 to 19,3169
91934,2011,Female,10 to 19,65
92123,2011,Female,10 to 19,1284
91935,2011,Female,10 to 19,653
92107,2011,Female,10 to 19,874
92054,2011,Female,10 to 19,2237
92040,2011,Female,10 to 19,2773
91910,2011,Female,10 to 19,5717
91978,2011,Female,10 to 19,520
92173,2011,Female,10 to 19,2758
91932,2011,Female,10 to 19,1841
92084,2011,Female,10 to 19,3594
92003,2011,Female,10 to 19,245
92109,2011,Female,10 to 19,1116
91941,2011,Female,10 to 19,1783
92009,2011,Female,10 to 19,2940
92135,2011,Female,10 to 19,111
91980,2011,Female,10 to 19,12
92026,2011,Female,10 to 19,3550
92019,2011,Female,10 to 19,3170
92110,2011,Female,10 to 19,1615
92118,2011,Female,10 to 19,1099
91917,2011,Female,10 to 19,55
92131,2011,Female,10 to 19,2553
92136,2011,Female,10 to 19,198
92101,2011,Female,10 to 19,625
92104,2011,Female,10 to 19,1977
92140,2011,Female,10 to 19,11
92122,2011,Female,10 to 19,1304
92115,2011,Female,10 to 19,3616
91902,2011,Female,10 to 19,1158
92127,2011,Female,10 to 19,2926
92155,2011,Female,10 to 19,2
91945,2011,Female,10 to 19,1854
92096,2011,Female,10 to 19,342
92061,2011,Female,10 to 19,205
92065,2011,Female,10 to 19,2662
91950,2011,Female,10 to 19,4412
92066,2011,Female,10 to 19,20
92037,2011,Female,10 to 19,1905
92116,2011,Female,10 to 19,1155
92139,2011,Female,10 to 19,2485
92067,2011,Female,10 to 19,736
91915,2011,Female,10 to 19,2222
92021,2011,Female,10 to 19,4475
92102,2011,Female,10 to 19,3226
92134,2011,Female,10 to 19,6
92128,2011,Female,10 to 19,2546
92058,2011,Female,10 to 19,1501
92007,2011,Female,10 to 19,443
92070,2011,Female,10 to 19,31
92113,2011,Female,10 to 19,4717
92106,2011,Female,10 to 19,1375
91942,2011,Female,10 to 19,1757
92182,2011,Female,10 to 19,1036
92536,2011,Female,10 to 19,19
91905,2011,Female,10 to 19,119
92161,2011,Female,10 to 19,0
91913,2011,Female,10 to 19,3325
92117,2011,Female,10 to 19,2375
91963,2011,Female,10 to 19,61
92083,2011,Female,10 to 19,2681
91906,2011,Female,10 to 19,234
92020,2011,Female,10 to 19,3770
92025,2011,Female,10 to 19,3815
92009,2011,Female,20 to 29,1632
